,momWinsZScore,Weight,Momentum Weight,Std Momentum Weight
BAJAJ-AUTO,3.390597248041059,1.05,3.560127110443112,0.042744119055626396
COALINDIA,3.230879611391125,1.01,3.2631884075050364,0.03917897015030301
BPCL,2.87154751891178,0.58,1.6654975609688323,0.01999654052353385
NTPC,2.503930689667759,1.62,4.05636771726177,0.04870215564254279
SUNPHARMA,2.3850342587735223,1.78,4.245360980616869,0.050971274215827735
HEROMOTOCO,2.232079889194981,0.62,1.383889531300888,0.016615456990915604
TATACONSUM,2.1959444435056445,0.7,1.537161110453951,0.018455688652292145
ONGC,2.1381960964282367,1.06,2.266487862213931,0.027212238219366934
HCLTECH,2.0851888190131556,1.66,3.461413439561838,0.04155892853583006
TATAMOTORS,2.0485015220944893,1.78,3.646332709328191,0.0437791333311551
BHARTIARTL,1.7823303206444225,3.25,5.792573542094373,0.06954764407019613
ADANIPORTS,1.758273444430786,1.0,1.758273444430786,0.021110439911158546
LT,1.4849749621447839,4.52,6.712086828894423,0.08058763904366766
SBIN,1.4579098202238123,2.93,4.271675773255771,0.051287218729769914
SHRIRAMFIN,1.436630354731985,0.67,0.96254233767043,0.011556616660337424
WIPRO,1.3384276961374832,0.69,0.9235151103348633,0.01108804225276948
TCS,1.2269876134765427,3.99,4.895680577771405,0.058779236522409725
SBILIFE,1.172326060620748,0.69,0.808904981828316,0.009711993357353847
CIPLA,1.1712006772879178,0.8,0.9369605418303343,0.011249472759818187
RELIANCE,1.1704900627675854,10.22,11.962408441484722,0.14362481865182936
M&M,1.1511242170955052,1.87,2.152602285968595,0.025844888549331313
ULTRACEMCO,1.123937405664487,1.14,1.2812886424575152,0.015383595186018315
GRASIM,1.1231292706708849,0.86,0.965891172776961,0.011596823934417987
APOLLOHOSP,1.0440500726078046,0.65,0.678632547195073,0.008147897390303789
INFY,0.9732834751826354,5.44,5.294662104993537,0.0635695469162585
MARUTI,0.9409416866967232,1.69,1.5901914505174621,0.01909238928092586
TITAN,0.9189106856420001,1.61,1.4794462038836202,0.017762743495786337
DRREDDY,0.8004086121030681,0.76,0.6083105451983318,0.0073035870799327135
ADANIENT,0.7968322478007218,0.85,0.6773074106306135,0.008131987341780502
BRITANNIA,0.7635670196987744,0.59,0.4505045416222769,0.005408913548540756
