,momWinsZScore,Weight,Momentum Weight,Std Momentum Weight
BAJAJ-AUTO,3.092606732758357,1.0,3.092606732758357,0.03420897151024916
NTPC,3.0500332867167157,1.69,5.15455625455125,0.05701729424311454
M&M,2.9412265265504463,2.62,7.70601349956217,0.08524032282274523
BHARTIARTL,2.6112539463937785,3.64,9.504964364873354,0.1051394772311945
HEROMOTOCO,2.439620529292765,0.68,1.6589419599190802,0.018350441277547
COALINDIA,2.213994314285433,1.02,2.2582742005711416,0.02497997465095253
ADANIPORTS,2.1311122983590365,1.02,2.173734544326217,0.024044836451408667
ONGC,2.120463028623682,1.01,2.141667658909919,0.02369012753934142
SBIN,2.0223983586942578,3.07,6.208762961191371,0.06867843654464471
SUNPHARMA,1.7776166054645903,1.55,2.755305738470115,0.030477905422291198
TATAMOTORS,1.767486774277816,1.64,2.898678309815618,0.03206382585522479
CIPLA,1.7437272576479599,0.73,1.2729208980830107,0.014080456553389045
LT,1.721906292589101,3.91,6.732653604023386,0.07447347019224392
BPCL,1.6949184907180803,0.56,0.9491543548021251,0.01049910224223516
SHRIRAMFIN,1.592733829077522,0.76,1.2104777100989166,0.01338973916726612
HINDALCO,1.4663874065724025,0.95,1.3930680362437824,0.015409468090110987
POWERGRID,1.4659800156158147,1.42,2.0816916221744566,0.023026700628234902
GRASIM,1.4186828106987852,0.93,1.3193750139498703,0.01459431029023512
MARUTI,1.2821429100397672,1.5,1.9232143650596507,0.021273699214819683
TATACONSUM,1.24724658346033,0.65,0.8107102792492145,0.008967698528278894
ICICIBANK,1.1397661076108876,7.95,9.061140555506556,0.10023010550624283
EICHERMOT,1.0203183014758492,0.6,0.6121909808855095,0.006771770753168128
ULTRACEMCO,0.9992932112741872,1.27,1.2691023783182178,0.01403821787090108
RELIANCE,0.9689695743706735,9.98,9.670316352219322,0.10696852370010525
JSWSTEEL,0.9210516929146205,0.84,0.7736834220482812,0.008558124724508818
AXISBANK,0.9021022076700568,3.39,3.058126484001493,0.03382756709988696
TATASTEEL,0.8995936232768437,1.35,1.214451391423739,0.013433694174474688
DIVISLAB,0.817680894263542,0.55,0.4497244918449481,0.004974642319058548
DRREDDY,0.783740515838387,0.73,0.5721305765620225,0.006328641267716572
BRITANNIA,0.7799076277103708,0.61,0.4757436529033262,0.005262454128409669
